left_elbow_angle,right_elbow_angle,shoulder_hip_dist,view_type,label
148.71,162.02,0.2958,0,-1
149.12,167.94,0.2958,2,1
148.88,167.37,0.2927,0,-1
148.62,171.85,0.2927,2,1
151.45,176.55,0.2917,0,-1
153.51,175.22,0.2885,0,-1
155.49,178.59,0.2854,0,-1
155.81,179.58,0.2823,0,-1
156.15,178.25,0.2802,0,-1
155.69,179.97,0.2781,0,-1
154.99,179.6,0.2812,0,-1
153.78,178.78,0.2885,2,1
153.02,179.27,0.2917,2,1
146.12,177.98,0.2896,0,-1
143.71,175.88,0.2885,0,-1
136.54,179.81,0.2896,0,-1
128.35,175.58,0.2885,0,-1
125.03,173.29,0.2771,0,-1
120.95,170.07,0.276,0,-1
119.38,172.93,0.276,0,-1
113.56,171.34,0.274,0,-1
111.31,173.42,0.2677,0,-1
109.81,170.83,0.2656,2,1
107.94,169.95,0.2667,2,1
106.59,169.34,0.2635,2,1
94.88,166.89,0.2667,2,1
94.22,167.33,0.2677,2,1
88.16,170.18,0.2698,2,1
85.95,164.2,0.2667,2,1
78.26,164.66,0.2635,2,1
75.39,164.35,0.2552,2,1
71.03,162.53,0.2448,2,1
69.71,158.3,0.2437,2,1
71.08,158.32,0.2333,2,1
71.98,176.59,0.2188,2,1
69.84,177.87,0.2042,2,1
65.45,175.74,0.1917,2,1
61.79,179.35,0.1875,2,1
61.41,171.57,0.1865,2,1
60.17,154.78,0.1833,2,1
63.29,160.7,0.175,2,1
60.5,134.36,0.1667,2,-1
62.14,126.26,0.1573,2,-1
70.5,151.37,0.1448,2,1
69.11,151.81,0.1354,2,1
69.84,173.09,0.1146,2,1
81.01,166.58,0.1115,2,1
108.5,166.77,0.1031,2,1
120.26,168.42,0.0969,2,1
133.91,174.3,0.0865,2,1
137.21,175.21,0.0823,2,1
134.72,173.57,0.0833,2,1
143.3,171.49,0.0729,2,1
144.91,173.14,0.0604,2,1
148.13,176.97,0.051,2,1
145.84,179.14,0.0437,2,1
144.86,178.01,0.0406,2,1
150.17,177.99,0.0312,2,1
146.09,177.36,0.0271,2,1
150.38,178.18,0.026,2,1
151.92,179.85,0.024,2,1
153.35,176.79,0.026,2,1
155.25,177.54,0.0292,2,1
153.93,178.39,0.0323,2,1
153.0,176.85,0.0365,2,1
153.87,177.87,0.0385,2,1
160.7,178.56,0.0448,2,1
159.54,177.06,0.0469,2,1
158.77,174.73,0.049,2,1
161.72,173.02,0.049,2,1
160.55,176.36,0.049,2,1
157.58,179.92,0.0521,2,1
154.75,173.95,0.0542,2,1
152.65,165.97,0.0552,2,1
